architecture,unmasked_pct,masked_pct,masked_CI95_low,masked_CI95_high
SWIN-Small,88.81,93.05,90.53,94.94
ConvNeXt-Large,90.61,91.7,89.0,93.78
ConvNeXt-XLarge,89.51,91.12,88.36,93.28
SWIN-Tiny,84.62,90.15,87.29,92.43
ConvNeXt-Tiny,84.62,89.77,86.86,92.09
EfficientNet-B5,80.42,89.38,86.43,91.75
SWIN-Large,82.52,89.19,86.22,91.58
DenseNet201,88.81,89.19,86.22,91.58
DenseNet169,88.81,89.19,86.22,91.58
DenseNet121,85.31,89.19,86.22,91.58
ConvNeXt-Base,86.71,88.8,85.8,91.24
MobileNetV3-Large,84.62,88.03,84.95,90.55
EfficientNet-B0,87.41,87.81,84.74,90.38
EfficientNet-B3,83.22,87.26,84.11,89.86
RegNetX-040,81.82,86.49,83.27,89.16
SWIN-Base,85.31,86.29,83.06,88.99
VGG16+BN,85.31,86.29,83.06,88.99
ResNet101,81.12,86.29,83.06,88.99
ResNet50,85.31,84.94,81.61,87.76
MobileNetV3-Small,83.92,84.56,81.19,87.41
ViT-Base,74.66,78.96,75.24,82.25
